Data,Fechamento
2001-01-02,15425
2001-01-03,16599
2001-01-04,16675
2001-01-05,16410
2001-01-08,16562
2001-01-09,16976
2001-01-10,16919
2001-01-11,17024
2001-01-12,16850
2001-01-15,16963
2001-01-16,16721
2001-01-17,17191
2001-01-18,17521
2001-01-19,17530
2001-01-22,17392
2001-01-23,17832
2001-01-24,17772
2001-01-26,17889
2001-01-29,17883
2001-01-30,17723
2001-01-31,17673
2001-02-01,17039
2001-02-02,16915
2001-02-05,16731
2001-02-06,17007
2001-02-07,16812
2001-02-08,17243
2001-02-09,17138
2001-02-12,16917
2001-02-13,17096
2001-02-14,17120
2001-02-15,16937
2001-02-16,16259
2001-02-19,16061
2001-02-20,15911
2001-02-21,15594
2001-02-22,15910
2001-02-23,16158
2001-02-28,15891
2001-03-01,16417
2001-03-02,16581
2001-03-05,16537
2001-03-06,16324
2001-03-07,16395
2001-03-08,16227
2001-03-09,16123
2001-03-12,15527
2001-03-13,15584
2001-03-14,15245
2001-03-15,15061
2001-03-16,15237
2001-03-19,14836
2001-03-20,14903
2001-03-21,14853
2001-03-22,14067
2001-03-23,14435
2001-03-26,14712
2001-03-27,14835
2001-03-28,14632
2001-03-29,14282
2001-03-30,14438
2001-04-02,13981
2001-04-03,13737
2001-04-04,13855
2001-04-05,14443
2001-04-06,14485
2001-04-09,14719
2001-04-10,15048
2001-04-11,14819
2001-04-12,14969
2001-04-16,14445
2001-04-17,14337
2001-04-18,14955
2001-04-19,14431
2001-04-20,13696
2001-04-23,13893
2001-04-24,14068
2001-04-25,14163
2001-04-26,14757
2001-04-27,14928
2001-04-30,14918
2001-05-02,14897
2001-05-03,15142
2001-05-04,15093
2001-05-07,14875
2001-05-08,14747
2001-05-09,14779
2001-05-10,14993
2001-05-11,14493
2001-05-14,14237
2001-05-15,14226
2001-05-16,14714
2001-05-17,14794
2001-05-18,14884
2001-05-21,15128
2001-05-22,14829
2001-05-23,14692
2001-05-24,14523
2001-05-25,14310
2001-05-28,14302
2001-05-29,14454
2001-05-30,14489
2001-05-31,14650
2001-06-01,14792
2001-06-04,15104
2001-06-05,15395
2001-06-06,15329
2001-06-07,15464
2001-06-08,15366
2001-06-11,15224
2001-06-12,15173
2001-06-13,15403
2001-06-15,14985
2001-06-18,14355
2001-06-19,14401
2001-06-20,14571
2001-06-21,14823
2001-06-22,14682
2001-06-25,14540
2001-06-26,14460
2001-06-27,14308
2001-06-28,14391
2001-06-29,14560
2001-07-02,14555
2001-07-03,14353
2001-07-04,14056
2001-07-05,14048
2001-07-06,13907
2001-07-10,13570
2001-07-11,13812
2001-07-12,13916
2001-07-13,14078
2001-07-16,13811
2001-07-17,14169
2001-07-18,13791
2001-07-19,13762
2001-07-20,14092
2001-07-23,14068
2001-07-24,13738
2001-07-25,13956
2001-07-26,13810
2001-07-27,13910
2001-07-30,13704
2001-07-31,13754
2001-08-01,13743
2001-08-02,13823
2001-08-03,13838
2001-08-06,14047
2001-08-07,14036
2001-08-08,13919
2001-08-09,13834
2001-08-10,13915
2001-08-13,13771
2001-08-14,13829
2001-08-15,13659
2001-08-16,13509
2001-08-17,13044
2001-08-20,13115
2001-08-21,12892
2001-08-22,12952
2001-08-23,12751
2001-08-24,13001
2001-08-27,12996
2001-08-28,13018
