Data,Fechamento
2021-01-04,118855
2021-01-05,119376
2021-01-06,119100
2021-01-07,122386
2021-01-08,125077
2021-01-11,123255
2021-01-12,123998
2021-01-13,121933
2021-01-14,123481
2021-01-15,120349
2021-01-18,121242
2021-01-19,120636
2021-01-20,119646
2021-01-21,118329
2021-01-22,117380
2021-01-26,116464
2021-01-27,115882
2021-01-28,118883
2021-01-29,115068
2021-02-01,117518
2021-02-02,118234
2021-02-03,119725
2021-02-04,119261
2021-02-05,120240
2021-02-08,119696
2021-02-09,119472
2021-02-10,118435
2021-02-11,119300
2021-02-12,119429
2021-02-17,120356
2021-02-18,119199
2021-02-19,118431
2021-02-22,112668
2021-02-23,115227
2021-02-24,115668
2021-02-25,112256
2021-02-26,110035
2021-03-01,110335
2021-03-02,111540
2021-03-03,111184
2021-03-04,112690
2021-03-05,115202
2021-03-08,110612
2021-03-09,111331
2021-03-10,112776
2021-03-11,114984
2021-03-12,114160
2021-03-15,114851
2021-03-16,114019
2021-03-17,116549
2021-03-18,114835
2021-03-19,116222
2021-03-22,114979
2021-03-23,113262
2021-03-24,112064
2021-03-25,113750
2021-03-26,114781
2021-03-29,115419
2021-03-30,116850
2021-03-31,116634
2021-04-01,115253
2021-04-05,117518
2021-04-06,117499
2021-04-07,117624
2021-04-08,118313
2021-04-09,117670
2021-04-12,118812
2021-04-13,119297
2021-04-14,120295
2021-04-15,120701
2021-04-16,121114
2021-04-19,120934
2021-04-20,120062
2021-04-22,119371
2021-04-23,120530
2021-04-26,120595
2021-04-27,119388
2021-04-28,121053
2021-04-29,120066
2021-04-30,118894
2021-05-03,119209
2021-05-04,117712
2021-05-05,119564
2021-05-06,119921
2021-05-07,122038
2021-05-10,121909
2021-05-11,122964
2021-05-12,119710
2021-05-13,120706
2021-05-14,121881
2021-05-17,122938
2021-05-18,122980
2021-05-19,122636
2021-05-20,122701
2021-05-21,122592
2021-05-24,124032
2021-05-25,122988
2021-05-26,123989
2021-05-27,124367
2021-05-28,125561
2021-05-31,126216
2021-06-01,128267
2021-06-02,129601
2021-06-04,130126
2021-06-07,130776
2021-06-08,129787
2021-06-09,129907
2021-06-10,130076
2021-06-11,129441
2021-06-14,130208
2021-06-15,130091
2021-06-16,129259
2021-06-17,128057
2021-06-18,128405
2021-06-21,129265
2021-06-22,128767
2021-06-23,128428
2021-06-24,129514
2021-06-25,127256
2021-06-28,127429
2021-06-29,127327
2021-06-30,126802
2021-07-01,125666
2021-07-02,127622
2021-07-05,126920
2021-07-06,125095
2021-07-07,127019
2021-07-08,125428
2021-07-12,127594
2021-07-13,128168
2021-07-14,128407
2021-07-15,127468
2021-07-16,125960
2021-07-19,124395
2021-07-20,125401
2021-07-21,125929
2021-07-22,126147
2021-07-23,125053
2021-07-26,126004
2021-07-27,124612
2021-07-28,126286
2021-07-29,125675
2021-07-30,121801
2021-08-02,122516
2021-08-03,123577
2021-08-04,121801
2021-08-05,121633
2021-08-06,122810
2021-08-09,123019
2021-08-10,122202
2021-08-11,122056
2021-08-12,120701
2021-08-13,121194
2021-08-16,119180
2021-08-17,117904
2021-08-18,116643
2021-08-19,117165
2021-08-20,118053
2021-08-23,117472
2021-08-24,120211
2021-08-25,120818
2021-08-26,118724
2021-08-27,120678
2021-08-30,119740
2021-08-31,118781
2021-09-01,119396
2021-09-02,116677
2021-09-03,116933
2021-09-06,117869
2021-09-08,113413
2021-09-09,115361
2021-09-10,114286
2021-09-13,116404
2021-09-14,116181
2021-09-15,115063
2021-09-16,113794
2021-09-17,111439
2021-09-20,108844
2021-09-21,110250
2021-09-22,112282
2021-09-23,114064
2021-09-24,113283
2021-09-27,113583
2021-09-28,110124
2021-09-29,111107
2021-09-30,110979
2021-10-01,112900
2021-10-04,110393
2021-10-05,110458
2021-10-06,110560
2021-10-07,110585
2021-10-08,112833
2021-10-11,112180
2021-10-13,113456
2021-10-14,113185
2021-10-15,114648
2021-10-18,114428
2021-10-19,110673
2021-10-20,110786
2021-10-21,107735
2021-10-22,106296
2021-10-25,108715
2021-10-26,106420
2021-10-27,106363
2021-10-28,105705
2021-10-29,103501
2021-11-01,105551
2021-11-03,105617
2021-11-04,103412
2021-11-05,104824
2021-11-08,104781
2021-11-09,105535
2021-11-10,105968
2021-11-11,107595
2021-11-12,106335
2021-11-16,104404
2021-11-17,102948
2021-11-18,102426
2021-11-19,103035
2021-11-22,102122
2021-11-23,103654
2021-11-24,104514
2021-11-25,105811
2021-11-26,102224
2021-11-29,102814
2021-11-30,101915
2021-12-01,100775
2021-12-02,104466
2021-12-03,105070
2021-12-06,106859
2021-12-07,107558
2021-12-08,108096
2021-12-09,106291
2021-12-10,107758
2021-12-13,107383
2021-12-14,106760
2021-12-15,107431
2021-12-16,108326
2021-12-17,107201
2021-12-20,105020
2021-12-21,105500
2021-12-22,105244
2021-12-23,104891
2021-12-27,105554
2021-12-28,104864
2021-12-29,104107
2021-12-30,104822
2022-01-03,103922
2022-01-04,103514
2022-01-05,101006
2022-01-06,101561
2022-01-07,102719
2022-01-10,101945
2022-01-11,103779
2022-01-12,105686
2022-01-13,105530
2022-01-14,106928
2022-01-17,106374
2022-01-18,106668
2022-01-19,108013
2022-01-20,109102
2022-01-21,108942
2022-01-24,107937
2022-01-25,110204
2022-01-26,111289
2022-01-27,112612
2022-01-28,111910
2022-01-31,112144
2022-02-01,113228
2022-02-02,111894
2022-02-03,111696
2022-02-04,112245
2022-02-07,111996
2022-02-08,112234
2022-02-09,112461
2022-02-10,113368
2022-02-11,113572
2022-02-14,113899
2022-02-15,114828
2022-02-16,115181
2022-02-17,113528
2022-02-18,112880
2022-02-21,111725
2022-02-22,112892
2022-02-23,112008
2022-02-24,111592
2022-02-25,113142
2022-03-02,115174
2022-03-03,115166
2022-03-04,114474
2022-03-07,111593
2022-03-08,111203
2022-03-09,113900
2022-03-10,113663
2022-03-11,111713
2022-03-14,109928
2022-03-15,108959
2022-03-16,111112
2022-03-17,113076
2022-03-18,115311
2022-03-21,116155
2022-03-22,117272
2022-03-23,117457
2022-03-24,119053
2022-03-25,119081
2022-03-28,118738
2022-03-29,120014
2022-03-30,120260
2022-03-31,119999
2022-04-01,121570
2022-04-04,121280
2022-04-05,118885
2022-04-06,118228
2022-04-07,118862
2022-04-08,118322
2022-04-11,116953
2022-04-12,116147
2022-04-13,116782
2022-04-14,116182
2022-04-18,115687
2022-04-19,115057
2022-04-20,114344
